Date,Costs Affiliate,Costs Paid Search,Costs Radio,Costs TV,Costs OOH,Clicks Facebook,Costs Display
01/01/2018,1009.75,13133.84,3471.32,26390.14,15570.27,443,1817.46
02/01/2018,2235.75,17604.02,4283.68,6771.48,2921.52,649,2015.36
03/01/2018,1550,16155.08,3634.9,10462.02,2921.52,1467,1931.97
04/01/2018,1896.75,16854.05,3959.04,4001,2921.52,2630,2006.71
05/01/2018,1828.25,14367.85,3494.74,5043.49,2921.52,2358,1990.68
06/01/2018,1472,11929.47,2470.57,10008.22,2921.52,1966,1880.41
07/01/2018,1475.25,13392.03,1421.75,10132.09,2921.52,1890,1914.56
08/01/2018,2052,15911.01,0,583.18,2921.52,770,2096.41
09/01/2018,2288.5,15054.64,0,0,0,488,1957.03
10/01/2018,2417.25,17906.64,0,5920.24,0,1142,1255.2
11/01/2018,2192.5,16595.45,0,7693.52,0,4332,1582.29
12/01/2018,1700.75,13531.61,0,3743.63,0,4470,1608.08
13/01/2018,1296.25,13328.72,0,7492.27,0,4058,1481.65
14/01/2018,2008.75,14940.88,0,6812.55,0,4206,1554.83
15/01/2018,2598.25,17852.4,3785.22,7540.85,0,3714,1679.96
16/01/2018,2704,16255.36,3702.33,7639.09,12626.8,4960,1793.05
17/01/2018,1835,17952.16,3477.12,5925.62,12626.8,5927,1811.4
18/01/2018,2301.4,16555,3736.79,5734.11,12626.8,7078,1752.07
19/01/2018,1907.2,14777.94,3795.78,9421.69,12626.8,6366,1907.43
20/01/2018,1197.05,14294.13,2409.29,6707.82,12626.8,6700,1905.81
21/01/2018,1296.3,16150.73,1673.02,3499.69,12626.8,6567,1955.98
22/01/2018,2395.88,18334.01,3937.73,9262.51,12626.8,4126,1529.23
23/01/2018,2523.48,16327.75,4178.94,6895.12,8615.49,5828,1430.48
24/01/2018,2232.38,18210.68,4230.2,4809.9,8615.49,6073,1475.94
25/01/2018,2364,16995.75,3332.5,4745.37,8615.49,4437,1651.75
26/01/2018,1564,12937.99,3762.94,5754.33,8615.49,1806,1867.7
27/01/2018,1481,12664.21,2093.97,8266.81,8615.49,1913,1951.21
28/01/2018,1894.13,14982.1,1629.72,6766.28,8615.49,1919,2021.28
29/01/2018,2523,15717.4,0,497.56,8615.49,1514,2222.17
30/01/2018,3183.25,13742.89,0,0,0,1191,2151.12
31/01/2018,2151.13,15814.62,0,0,0,1061,2752.67
01/02/2018,1778,14971.2,0,9061.04,0,524,1728.56
02/02/2018,1462.75,12268.95,0,3392.06,0,582,2163.26
03/02/2018,1581.25,11849.03,0,8923.59,0,556,2167.24
04/02/2018,1509.75,13715.97,0,9357.48,0,822,2341.09
05/02/2018,2078,16121.8,3798.27,8811.04,0,756,2318.59
06/02/2018,2006.25,14409.4,3885.13,5592.78,14309.06,869,2570.23
07/02/2018,1930.75,15010.64,3848.56,5796.73,14309.06,4461,2703.45
